,TCGA.A6.2681.01,TCGA.A6.5666.01,TCGA.A6.5667.01
mrna_SERAC1,-0.8065761842994251,-0.6323655896384643,-1.2113298971532016
mrna_CD84,0.4026898624699253,-1.1319198200206806,-0.37555019913707055
mrna_AKR1B10,0.0375139378118737,-1.3498841539653539,0.8794199608127061
mrna_TMEM38B,-0.3821018878933121,1.287210989585996,0.9552565881202172
mrna_SLC2A11,-0.2159671555161404,-0.9245461718073124,0.11653708494556267
mrna_GRIPAP1,-0.2898971191308731,0.21488178358377225,0.40969474262269306
mrna_LPAR6,-0.8386341226843547,-0.7423801676150935,-1.404119738486265
mrna_DLGAP4.AS1,-0.2732878371449131,-0.8568045460307906,-0.02309498417816325
mrna_RALA,-1.6389894914637047,-0.3803720887226321,-0.14458439823259767
mrna_MICU2,-0.6033434309055444,1.0484041681802057,-0.2891181897496785
mrna_CYP3A5,-0.29374194485916927,-0.8820790319268864,-1.2705351937962555
mrna_CA13,-1.301890021246941,-1.0683673974480352,-0.4903432780742529
mrna_NMT1,0.25855753910955137,0.8411046206826708,1.117273480386881
mrna_MRPL33,-2.497363150430513,2.183025148814488,-0.08974772276015477
mrna_BDKRB1,0.6357156654159725,-0.9471861927387032,-0.551350438600436
mrna_CNN1,1.8958589560535142,-0.9356848397173977,1.9243906623162044
mrna_PHF19,1.093316383439317,-1.6421524817626594,-1.3557658237962098
mrna_LINC01977,0.8108934745541737,-0.924988236996999,-0.9020063096342532
mrna_FAM71F2,0.17180045265679933,-0.7254719946687747,0.019814122913464995
mrna_EXO1,-0.31087765768325165,0.43828590929664346,0.8059439459790985
mrna_NCOA1,0.6430066255390691,-0.9654861254086955,0.7156666778956363
mrna_LANCL3,-0.2869399898541916,-0.8942566241743727,0.3318084832069161
mrna_LCN2,-0.5042264216614766,-0.9713653146217083,-1.0453742955081438
mrna_DESI2,-0.4910787281677645,0.5605935001382669,0.6678558976697129
mrna_LOC101928881,-0.8900617656951625,0.94078439686167,0.9642974028602979
mrna_NFIA,-0.3567300401510295,1.6840369963058333,-0.7849676559030719
mrna_MRPL18,-0.3427188901397238,0.7027082699100606,0.46247436379057316
mrna_MIR330,1.5924683350894384,-0.8759679266042318,-1.2698584617123663
mrna_SLMAP,-0.5480514861309447,-0.7285907342089071,0.6809135390856152
mrna_METTL1,0.8788314845371441,-0.09143949210188403,0.043297022913860596
mrna_IL12RB2,0.45970867876886445,-0.4174425765346318,-0.09299652659756857
mrna_CSF1,0.6926127433675963,-2.2191503958140046,-0.5028364703952055
mrna_TAOK2,0.6782726951800476,-1.8875191662910409,0.60752204370888
mrna_GALM,-0.05341631819825897,-0.9071592387826696,0.5905014919160886
mrna_ANK2,0.6230513584663525,-0.928166015342339,0.572128112103849
mrna_PPP6R3,-1.05152995553752,0.38142934118929417,1.6320567904173886
mrna_TMEM191A,0.25705151979069385,2.2179788951641064,-0.5821861183011848
mrna_IRGQ,1.4197646299542923,-2.2236979595039554,0.678841709894268
mrna_FAM45A,-1.8644629915515427,-1.5668385085010381,-0.8894833332517709
mrna_RENBP,2.0640077582169654,-0.06514480424380586,-0.07556553690501541
mrna_SALL4,-0.23839836786080087,-0.9216060583230125,1.4083882988688612
mrna_BPGM,-0.7772169268642918,0.32116942391161746,0.1702499404785482
mrna_GRPEL2,-1.9494650864816256,1.156962393230542,0.23287915881188048
mrna_ELMSAN1,-0.2187746978653766,-1.7356157995387949,0.35266166326539156
mrna_DTX2P1.UPK3BP1.PMS2P11,-0.6641310472128634,-0.4446759850984839,-0.8169455190318712
mrna_CSNK2A2,0.3935335871281431,0.5888870432499967,1.6845927516435883
mrna_TRPC1,-0.4915106210967416,-0.5598175350368955,1.3390360595926947
