,TCGA.3C.AALI.01,TCGA.A2.A0T7.01,TCGA.A2.A0YC.01,TCGA.A7.A13E.01,TCGA.A7.A6VV.01,TCGA.A7.A6VX.01,TCGA.AN.A0XP.01,TCGA.AO.A12G.01,TCGA.AR.A1AI.01,TCGA.AR.A1AR.01,TCGA.AR.A1AS.01,TCGA.AR.A24L.01,TCGA.AR.A24T.01,TCGA.B6.A0RM.01,TCGA.B6.A0X7.01,TCGA.B6.A1KF.01,TCGA.BH.A0DV.01,TCGA.BH.A0E0.01,TCGA.BH.A0E2.01,TCGA.BH.A0H0.01,TCGA.BH.A0HI.01,TCGA.BH.A0RX.01,TCGA.BH.A1F2.01,TCGA.BH.A202.01,TCGA.BH.A6R9.01,TCGA.C8.A1HO.01,TCGA.C8.A26X.01,TCGA.C8.A3M7.01,TCGA.D8.A1XZ.01,TCGA.D8.A1Y2.01,TCGA.D8.A27L.01,TCGA.E2.A1IF.01,TCGA.E2.A9RU.01,TCGA.E9.A1N5.01,TCGA.E9.A1R0.01,TCGA.E9.A1R7.01,TCGA.E9.A245.01,TCGA.E9.A5FK.01,TCGA.EW.A1IY.01,TCGA.EW.A1OZ.01,TCGA.EW.A6S9.01,TCGA.EW.A6SD.01,TCGA.HN.A2OB.01,TCGA.LL.A440.01,TCGA.OL.A66K.01,TCGA.PL.A8LV.01,TCGA.PL.A8LY.01,TCGA.S3.AA15.01,TCGA.WT.AB41.01,TCGA.Z7.A8R5.01
IVNS1ABP,-0.142333402173092,1.02154712540937,0.248392529964118,0.788846449609507,-1.73503186879031,1.00796977641619,0.963089095022047,0.143545223850079,-0.516087648068822,0.272530039285336,1.32779177492232,-0.25170649128486,-0.139693362091084,-1.39333525246183,-0.182311151986359,3.49488753366789,-0.164962317161734,3.02307465615472,-1.02071245231553,1.93047521078647,0.518430915495241,-0.144596293671956,-0.705039088223979,1.08867957320901,-0.953957153099036,-1.11047381510381,-0.459138212014074,0.312884937681747,-2.57079312903747,-1.39899248120899,-1.23530999612448,0.885773635477522,-0.705416236807123,-1.15912598232939,-1.14630293050249,1.46545100776989,-0.183442597735791,-0.471961263840971,0.233306586638357,-0.941511249855283,-0.677130093071321,-0.739359609290085,-0.195888500979544,-0.975454622338245,1.40887872029829,0.475435977016822,-1.27717348885347,-1.2371957390402,0.931785762621093,-0.135167579093356
CELSR3,-1.61575730843831,1.27047763323735,0.508908001416667,0.589177539708762,-0.856665131503185,-0.898781864557679,0.799761204981236,-2.009177144265,-0.619820444443791,0.914219620694039,2.1955592875049,-1.26643616957456,-0.943376052497733,0.381071329321847,0.458863412728385,0.731878941116933,0.46034988565972,-0.906709720191467,1.02570509054417,0.788364912507667,0.847823829761071,0.0778308513294856,0.652104893801948,1.17534336563191,0.37314347368806,0.668951587023746,0.945435552252076,0.546565315677156,-0.0688344778955783,1.51277272104498,0.314675538388879,0.506430546531108,-1.39526382362361,0.585213611891869,0.630798781786145,-1.76589107450316,0.41377373381122,0.205172032447193,-0.0435644380628814,0.264630949700597,-0.125320449286312,1.19565849569349,0.424179044330565,0.425170026284789,-0.433515837049791,0.171974136980709,0.463818322499502,0.546565315677156,0.762103890720746,-0.15653638084435
LIPF,-1.26490376398352,0.646630425195392,0.343852060439874,-1.59963114450058,-0.881024051525631,0.548817284633139,-0.543347531092123,-2.12506957294806,1.37211884464206,-0.966057585783268,0.0337008458932315,0.667274404610541,0.613698362795036,0.251445676391112,0.399885718852422,0.456902423903785,0.308462381442476,0.734121576050071,0.678087917637524,0.741494425841196,0.358597760022124,0.335987687329341,-1.36812366105926,-1.26490376398352,0.239649116725313,0.503597139247575,0.0961243074580867,0.439207584405086,-1.11400610492517,0.180174795076908,0.330089407496442,0.374326506243189,-0.243518306253055,0.0577854885442386,0.498681906053492,-1.84293518760769,0.339919873884608,-0.352636483161699,-0.132434036066777,0.79851113089256,-0.215009953727373,-0.29709434806856,0.320750464427684,0.107429343804478,0.723308063023089,-0.859888548791074,0.323699604344134,0.107429343804478,0.615172932753261,0.267665945931586
SIDT2,-2.64991620385885,-0.11749824446221,-1.72189860437415,-0.763202737137903,-0.209898265190124,-0.402733091057072,0.946015037591871,-1.08678541842221,-0.153654774312263,1.11657159759162,0.488762761104333,-0.481985282748602,-0.282941759836695,0.626449748513121,-0.766854911870231,-0.337724380821624,0.711910637249609,-0.295724371399845,-1.45090723923537,-1.82233340951319,0.76815412812747,0.946015037591871,-0.593011394611391,1.14323247313761,0.661510625943475,-1.88259429259661,-0.0506634468605974,0.838641100461411,0.708623679990514,-0.510107028187533,0.754641081617854,0.762310648555744,-1.42278549379644,-0.856333192812282,0.857997626542752,-0.91367233610984,0.733458468170348,0.855441104230123,0.36312795031223,-0.215011309815383,1.05923245429406,-0.817985358122831,0.217771395965553,0.402936654894612,0.152397468256872,-1.13718542972835,0.733823685643581,0.794449786200235,-0.685046197866071,0.286797498406563
LHFPL4,1.50566707812034,0.639560695807293,-0.0514370111470653,-0.0960005961934389,-1.42609254045991,-2.02534168996585,0.264702303946621,0.101652010424006,-1.27929484854244,0.47808323469808,1.80922373390682,0.291964732445579,0.214371666717775,-0.178312159161447,-0.0960005961934389,0.0172433375714635,-0.105437590673847,-1.59176422133819,2.61975670427968,0.342819647145558,0.367460688288847,-0.500218526437605,0.132584381220901,0.910087870912338,-0.200331812949067,0.244779760043536,0.41883988045996,-0.0100190909274945,-0.907582121508573,1.07942949408856,-0.248565340293377,-0.0477670688491287,0.289867622561043,0.0334959391766115,0.0859236862899923,0.235342765563127,-0.143709846066615,-0.374391933365491,-0.632336449163324,3.13774284575989,-0.711502347304529,0.732357808197977,-0.113301752740855,-0.127457244461467,-1.02606882998481,-0.300468809935624,-0.0918063764243685,0.300877449454853,0.160371087190993,-0.748201770283895
DHRS7C,-0.639669229050588,0.117274262349629,-1.63153813083517,0.743626863859713,0.577797162411925,-2.4347757472229,-1.16894235950478,-0.98031107410792,0.299686933942196,-0.0368091685789409,-1.57626156368591,-0.414417217917342,-0.159108573396685,0.802358216455805,-0.690454575118973,0.922584750005451,0.751918348932103,-0.157726659217953,-1.39834011317422,-1.59733575491157,0.831723892753851,1.04868441881471,-0.357067779499982,-0.41890843899822,0.713224751927619,-1.59388096946474,0.0689072660940242,-0.124906197473079,-0.747113056446968,-0.355340386776568,0.816522836787804,0.849688777077361,-1.41146829787217,-0.704619195450972,-0.559172728139474,-0.740894442642676,0.799248909553659,0.637219472097382,0.489700133517787,-9.54265132552873,-1.01865919256772,-0.715329030336142,-0.460020385815484,0.769883233255613,1.65154447928635,-0.485585798122018,0.762282705272589,0.653111485152795,-0.537407579824452,0.781629503774831
ENSG00000263874,-1.11038165903128,0.0869372291173929,0.712803539109287,-0.13028412267058,-0.738373835011163,-0.581636272792895,-0.0591777320653354,-0.0945141395917223,-0.369184252082103,-0.685260829833465,-0.148060720321891,0.540457257002063,-0.0086661802024634,-0.119444733858805,-0.119011158306334,0.751825338831678,-0.140473148153649,-0.702820639708541,-1.32348404307078,0.0535519115771256,-0.139172421496236,0.108616006740943,5.54890525137087,2.02545352421525,-0.187949671149224,-1.58297901122468,-0.67008568549698,-0.684176890952288,-1.0286526673905,0.404314533526168,-0.127032306027048,-0.103402438417378,-0.591174934947257,-1.02279939743214,-0.066331728681107,0.726894744564595,-0.12789945713199,-0.225887531990437,-0.290490289308616,-0.986379051024578,3.88115688879115,4.25359828836374,-0.150878961412953,0.104713826768704,0.376132122615553,-0.203124815485709,-0.149361446979304,-0.244097705194219,0.0114950829874382,-0.144158540349652
ADM2,-0.536055180403021,-0.288562288717044,0.536186437232364,-0.571216239497718,1.65690252468762,0.371304965943638,0.620846074664257,1.96857288345907,-1.21299091035239,-0.312799523626981,0.573054343855931,0.615384162571877,0.722232817879064,0.390080288761194,0.566909692752003,0.765928114618106,0.475764034710409,-0.565412957899564,1.14996880861359,0.893941679283267,0.815085323449528,0.148390678673371,0.35969840274733,0.493515249010644,0.558034085601885,0.403052329980597,0.911351524077728,0.352529643126081,0.989866510405694,-0.584871019728669,-0.324747456329062,-0.358884406906439,-0.601256756005809,0.242950031772703,0.601046643329379,0.695264626922937,0.391787136290063,0.0958197747842119,-0.0390211799964238,2.35807548954693,-0.969253083229924,-1.473114473752,0.415341632188453,0.448113104742734,-0.106612342139629,0.680585738174665,0.209495820206875,0.236122641657228,0.570664757315514,-0.521376291654749
GSTM2,-0.468693500933078,-0.693737737001889,-0.223342430212816,-1.36831409357404,1.05404092210854,-0.813075162556302,-0.438094161047331,0.511041727045109,1.17059658949153,-0.505412708795974,0.405056740713568,-0.768567031813397,0.244271118404825,-0.46535539112736,0.956401210291298,-0.535455697047434,-0.793324679539138,-1.14549526404237,-1.34300009421401,0.952506748851294,0.170554526861889,1.39202453993748,0.315762303410615,-0.0088688751954448,-0.184675991629918,-0.456731940795922,-0.502630950624542,-1.65455700941434,0.0943343529646651,1.69690523552637,0.18919230661048,-0.777468657961978,-0.0041398863040112,0.264856128873418,-1.10043078166518,-1.10154348493375,0.676834514062429,1.86714883561798,-1.80727553302593,1.54613394263478,0.52522869371941,0.341632654404929,-2.03454517563189,-0.601939717344648,-0.786092108293416,-1.71492116173441,0.937485254725563,-1.23451152552818,-0.56855861928747,-1.49126780475131
PJA2,-1.38919095386477,0.707407937603525,0.174850627443703,-1.78492341876727,-1.02202125127188,0.342080993869322,0.425926521939467,0.293247884114183,-2.01434689667349,-1.19754403256158,0.0555319913438818,-1.15469988909717,0.377554101898999,-0.0048183612780357,0.201570630894629,-1.86830825712274,0.123714069115208,-1.19293713541487,0.332406509861229,0.420398245363414,-3.1517898021965,-0.244837702621692,-1.46013716992412,0.599606544370482,0.526817569452444,0.331485130431886,-0.838206055118103,0.181300283449099,-2.40731522328796,1.1114328173701,0.148591313707449,0.131545794264618,2.46678195793256,0.272516846953982,0.322732025853135,0.348530649874718,0.114039585107115,0.337934786437282,0.621719650674696,0.493647909996123,-2.25068072029978,-1.87107239541077,0.13246717369396,-0.114462513369764,0.547087916897973,-2.07976483615679,0.148591313707449,-0.075303887622718,-1.6471771940806,0.559065849479423
